id;price
2463;23640
1301;62990
1288;10690
1302;75990
1285;32590
1296;59990
1703;36690
1702;34890
1419;26990
1287;9490
1286;13390
1284;23390
1283;10990
1282;8990
1281;28290
1094;23580
1095;15990
1096;23700
1097;26720
1098;14990
2462;23770
1099;26760
1100;15990
1101;28800
1102;16390
1103;16990
1104;18150
1105;18550
1106;29370
1107;20690
2456;40120
1108;21490
1109;37200
1110;21890
1111;39240
1112;27890
1113;44880
1114;36290
1115;29900
1116;30600
1117;33100
1130;3120
1131;1800
1132;1570
1133;500
1134;500
1135;500
1136;500
1137;500
1138;500
1139;500
1140;500
1142;35700
1143;500
1144;500
1145;200
1146;1050
1148;850
1149;3520
2284;20920
1150;32400
1151;18900
1152;102500
1153;107500
1154;93200
1155;98200
1299;88990
1298;69990
1297;72990
1300;62990
1391;34500
1295;57990
1294;49990
1219;25700
2314;1400
1387;23500
1388;32400
1303;119990
1390;35990
1304;27990
1305;50990
1306;57990
1307;18750
1308;32500
1337;9300
1338;9560
1339;640
1340;2340
1341;2600
1342;1990
1343;3800
1344;4800
1345;5150
1346;4600
1347;5100
1373;46340
1374;136320
1375;5080
1376;5220
1377;6020
1378;6380
1379;15870
1380;25810
1381;30960
1382;38940
1383;9570
1389;18900
1488;1000
1392;2720
1393;55570
1394;48690
1417;67890
1400;19200
1413;19390
1414;23990
1415;28100
1416;32900
2357;7910
1421;15600
1444;22950
1443;22950
1424;45990
2468;83290
1425;48700
1426;14800
1445;49990
1446;69990
1448;129990
1447;89990
1450;169990
1451;199990
1454;239990
1455;259990
1464;300
1465;250
1489;1990
1490;1120
1491;720
1492;13990
1493;19990
1494;17990
1495;5990
1496;1490
1497;29990
1520;3440
1521;3600
1531;33790
1532;48890
1533;58700
1534;63990
1535;42300
1536;66300
1537;126850
1538;142700
1539;49700
1540;79600
1544;25000
1545;26000
1546;26400
1547;28600
1548;33400
1549;32900
1585;19990
1586;29900
2440;4800
1653;17500
2457;52390
2459;82930
1737;150
1754;140
1774;12860
1776;48170
2868;39200
1807;2150
1847;28780
1848;30730
1849;30130
1851;31930
1852;15900
1853;26860
1854;19300
1855;20000
1856;28050
1857;28510
1862;5399
1866;6990
1885;9510
2358;4960
2331;32900
2461;32600
2460;87800
2471;40990
2472;38990
1959;16550
2466;38540
1990;24190
1994;19990
1995;55990
1996;18990
2031;101090
2033;13640
2044;14620
2135;2490
2136;7900
2169;1500
2180;24990
2181;23700
2182;29990
2183;28900
2184;20900
2185;21300
2186;24900
2187;20900
2188;21300
2189;24990
2205;300
2206;450
2207;300
2217;6700
2223;38280
2224;41280
2225;1500
2226;2249
2227;4840
2228;4700
2229;6600
