id;price
305;720
306;720
307;720
302;700
303;700
304;720
301;700
298;700
300;1330
299;1120
226;2720
225;27500
145;4320
144;1100
143;1450
141;930
140;1060
71;1310
139;3400
308;720
309;1680
155;19990
156;20500
157;29990
158;34750
159;22900
160;24500
1850;23900
161;22900
162;24500
163;20900
164;16690
165;11890
166;7690
167;45500
1543;24650
168;41700
169;34000
170;28490
171;41100
172;36990
173;36900
174;45100
175;27965
176;38335
177;35445
178;25990
179;41500
180;44700
181;42300
182;48700
183;33500
184;42610
185;43990
186;47530
187;42260
188;33900
189;36590
191;19990
192;16250
193;19990
194;14690
195;15500
196;15650
197;26540
198;14990
199;11680
1775;32400
200;5100
201;5600
202;6490
203;10300
204;7990
205;8670
206;8990
207;14990
208;720
209;720
210;8000
211;10600
212;16100
213;11500
216;12150
217;16900
227;2140
228;1840
229;100
230;100
231;1680
232;1120
233;1440
234;1280
235;1280
236;740
237;740
238;640
239;640
240;600
241;2880
242;2720
243;3120
244;2720
245;2160
246;2480
247;1600
248;1600
249;2240
250;2080
251;2080
252;2100
253;3200
254;720
255;990
256;740
257;23700
258;24990
259;14850
260;15150
261;22950
262;22950
263;12300
264;17700
265;13350
266;14650
267;15900
268;600
269;8400
270;16500
271;100
272;100
273;4700
274;7200
275;13290
276;15990
277;17200
278;16600
279;18100
280;19900
281;17600
282;5600
284;2240
285;880
286;1200
287;4800
288;700
289;670
290;300
291;300
294;12300
295;5600
296;5600
310;1680
311;15150
312;4800
313;4960
314;23700
341;200
315;24990
316;23700
319;12300
320;12300
321;2720
322;23700
324;2880
325;3120
327;2720
326;2720
328;2160
329;2480
330;1600
331;720
332;720
333;100
334;100
335;1280
336;110
337;46990
338;2100
340;200
342;200
343;200
344;200
345;200
346;200
347;200
348;200
349;200
350;200
351;200
352;200
353;200
354;200
355;200
356;200
357;200
358;200
359;200
360;200
361;200
363;24000
2350;1120
365;57490
366;1990
392;42300
367;1600
1584;2800
368;3450
369;1500
370;400
371;850
372;320
373;33100
374;62490
375;12800
376;13900
377;12100
378;12100
379;28135
380;131300
381;125000
382;31100
383;28100
384;32725
385;28100
386;31365
387;37990
388;35990
390;37990
391;52380
394;29300
393;28500
395;33990
396;32300
397;32500
398;33300
399;31300
400;40300
401;42650
402;37490
403;33250
404;34950
405;35880
406;40550
407;34620
408;36940
410;42500
412;28200
413;33500
414;35800
415;39300
416;39990
417;41500
418;19990
419;72500
420;98770
421;99500
423;63000
425;20990
424;18990
426;20990
427;17500
428;12060
429;12990
430;14990
431;200
432;250
433;100
434;100
435;100
2455;42500
930;5090
929;5900
881;250
882;1000
883;900
884;450
885;250
886;250
888;310
895;7630
896;8850
1420;18900
906;7950
907;6690
925;13940
922;8560
923;8050
924;14640
944;54800
2351;25400
982;7990
983;9990
984;14590
985;14790
986;18990
990;25990
992;55600
1004;10900
1019;14900
1020;450
1021;450
1022;450
1023;450
1024;450
1025;1050
1026;250
1027;1360
1028;300
1029;1600
1030;200
1031;200
1032;200
1033;1200
1034;15900
1035;240
1036;240
1037;240
1038;240
2458;50830
2359;33440
