Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
305;;"Шкив Д=20 мм (МБ-1 Ока, Каскад, Луч)";700;0;0;0;0;;;99;0;0
306;;"Шкив Д=19 мм (МБ-2 Нева)";700;0;0;0;0;;;99;0;0
307;;"Шкив Д=20 мм (МБ-2 Нева)";700;0;0;0;0;;;99;0;0
302;;"Шкив Д=20 мм (Салют)";700;0;0;0;0;;;99;0;0
303;;"Шкив Д=19 мм (Салют)";700;0;0;0;0;;;99;0;0
304;;"Шкив Д=19 мм (МБ-1 Ока, Каскад, Луч)";700;0;0;0;0;;;99;0;0
301;;"Шкив Д=19 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
298;;"Шкив Д=20 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
300;;"Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander";1200;1100;0;0;0;;;99;0;0
299;;"Сцепка СВ-1/1 для мотоблоков Салют, Фаворит";1100;1100;0;0;0;;;99;0;0
226;;"Комплект культиваторов для мотоблоков типа МБ";2700;2700;0;0;0;;;99;0;0
225;;"Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус";17400;17400;0;0;0;;;99;0;0
145;;"Плуг двухоборотный для мотоблока";4050;4050;0;0;0;0;0;98;15;-1
144;;"Плуг Крот для мотоблока";990;990;0;0;0;;;98;4;0
143;;"Плуг П1-20/3 для мотоблока";1290;1290;0;0;0;;;100;7;0
141;;"Окучник ОН-2 для мотокультиваторов";900;900;0;0;0;;;99;4;0
140;;"Окучник для мотоблоков ОН-2/2";1000;1000;0;0;0;;;99;5;0
71;;"Плуг П1-20/2 для мотоблока";1200;0;0;0;0;;;99;6;0
139;;"Окучник для мотоблоков двухрядный";3100;3100;0;0;0;;;99;15;0
308;;"Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют";700;700;0;0;0;0;0;95;0;-1
309;;"Полольники для мотокультиватора Нева МК-100";1600;1600;0;0;0;;;99;0;0
155;;"Мотокультиватор МКМ-2-Л4,0 Lander";19990;0;0;0;0;;;99;0;0
156;;"Мотокультиватор МКМ-2-Л5,5 Lander";20500;0;0;0;0;1;0;99;0;0
157;;"Мотокультиватор МКМ-2-Б6,0 Lander";23500;0;0;0;0;;;99;0;0
158;;"Мотокультиватор МКМ-2-С6,0 Lander";24990;0;0;0;0;0;0;99;0;0
159;;"Мотокультиватор Нева МК-100-05";22900;0;0;0;0;;;99;0;0
160;;"Мотокультиватор Нева МК-100-05Р";24500;0;0;0;0;;;99;0;0
161;;"Мотокультиватор Нева МК-100-07";22900;0;0;0;0;;;99;0;0
162;;"Мотокультиватор Нева МК-100-07Р";24500;0;0;0;0;;;99;0;0
163;;"Мотокультиватор Нева МКМ-75-01Р";20900;0;0;0;0;;;99;0;0
164;;"Электрокультиватор Eurosystems La Zappa 1300";11500;0;0;0;0;;;99;0;0
165;;"Электрокультиватор Eurosystems Z-1";8500;0;0;0;0;;;99;0;0
166;;"Электрокультиватор Eurosystems Lucciola";5500;0;0;0;0;;;99;0;0
167;;"Мотоблок МКМ-3-С7 Lander (Пахарь)";34500;0;0;0;0;;;99;0;0
168;;"Мотоблок МКМ-3-С6 Lander (Пахарь)";32500;0;0;0;0;;;99;0;0
169;;"Мотоблок МКМ-3-С6 Премиум Lander (Пахарь)";34000;0;0;0;0;;;99;0;0
170;;"Мотоблок МКМ-3-Л6,5 Lander (Пахарь)";26500;0;0;0;0;;;99;0;0
171;;"Мотоблок МКМ-3-К7 Lander (Пахарь)";32900;0;0;0;0;0;1;99;0;0
172;;"Мотоблок МКМ-3-Б6,5 Lander (Пахарь)";32500;0;0;0;0;;;0;0;0
173;;"Мотоблок МКМ-3-Б6 Lander (Пахарь)";29990;0;0;0;0;;;99;0;0
174;;"Мотоблок МКМ-3-GX200 Lander (Пахарь)";33500;33500;0;0;0;1;0;99;0;0
175;;"Мотоблок Салют 5Л";24990;0;0;0;0;0;0;99;0;0
176;;"Мотоблок Салют 5Х";33000;0;0;0;0;0;0;99;0;0
177;;"Мотоблок Салют 5Р6";34000;0;0;0;0;0;0;99;0;0
178;;"Мотоблок Ока МБ-1Д1М12";25990;0;0;0;0;;;99;0;0
179;;"Мотоблок Ока МБ-1Д1М13";31500;0;0;0;0;;;99;0;0
180;;"Мотоблок НМБ-1Н2 Угра";39000;0;0;0;0;;;99;0;0
181;;"Мотоблок НМБ-1Н9 Угра";39500;0;0;0;0;;;0;0;0
182;;"Мотоблок НМБ-1Н10 Угра";42000;0;0;0;0;;;98;0;0
183;;"Мотоблок НМБ-1Н8 Угра";31500;0;0;0;0;;;99;0;0
184;;"Мотоблок МБ-2Н-5,5 Нева";34990;0;0;0;0;0;0;99;0;0
185;;"Мотоблок МБ-2С-6,0 PRO Нева";35500;0;0;0;0;;1;99;0;0
186;;"Мотоблок МБ-2С-7,0 PRO Нева";36990;0;0;0;0;;1;99;0;0
187;;"Мотоблок МБ-2Б-6,0 Нева";33000;0;0;0;0;;;99;0;0
188;;"Мотоблок МБ-2Б-6,5 PRO Нева";33900;0;0;0;0;;;99;0;0
189;;"Мотоблок МБ-2Б-7,5 PRO Нева";37000;0;0;0;0;0;0;99;0;-1
191;;"Двигатель Honda GX200";14500;0;0;0;0;0;1;99;0;0
192;;"Двигатель Subaru EX17";13500;0;0;0;0;;;99;0;0
193;;"Двигатель Subaru EX21";16490;0;0;0;0;;;98;0;0
194;;"Двигатель Subaru EX17 Premium";15500;0;0;0;0;;;98;0;0
195;;"Двигатель Subaru EX21 Premium";15500;0;0;0;0;0;0;99;0;0
196;;"Двигатель Kohler Command PRO CH270";14500;0;0;0;0;;1;99;0;0
197;;"Двигатель Kohler Command PRO CH395";23900;0;0;0;0;;;99;0;0
198;;"Двигатель Briggs&amp;Stratton VANGUARD OHV 6,5 13Н3";14500;0;0;0;0;;;99;0;0
199;;"Двигатель Briggs&amp;Stratton 750 Series";11990;0;0;0;0;;;99;0;0
200;;"Двигатель Lianlong LL160F";5100;0;0;0;0;;;99;0;0
201;;"Двигатель Lianlong LL168F";5600;0;0;0;0;0;1;99;0;0
202;;"Двигатель Lianlong LL168F-1";6490;0;0;0;0;0;1;99;0;0
203;;"Двигатель Lianlong LL173F";10300;0;0;0;0;;;99;0;0
204;;"Двигатель Dinking DK168F";6100;0;0;0;0;0;1;99;0;0
205;;"Двигатель Dinking DK168F-1";6990;0;0;0;0;0;1;99;0;0
206;;"Двигатель Dinking DK170F";7290;0;0;0;0;0;1;98;0;0
207;;"Двигатель Dinking DK182F";12500;0;0;0;0;;;99;0;0
208;;"Шкив для двигателя";700;0;0;0;0;;;97;0;0
209;;"Опора сварная для двигателя";700;0;0;0;0;;;97;0;0
210;;"Мотопомпа Lianlong LL QDZ 40-25";4800;0;0;0;0;;;99;0;0
211;;"Мотопомпа Lianlong LL QD 50-30А";7000;0;0;0;0;;;99;0;0
212;;"Мотопомпа Lianlong LL HW 51A";9000;0;0;0;0;;;99;0;0
213;;"Мотопомпа Lianlong LL TW 30 для грязной воды";9700;0;0;0;0;;;99;0;0
214;;"Мотопомпа Hitachi A25EB";8300;0;0;0;0;;;99;0;0
215;;"Мотопомпа Hitachi A160EA";14500;0;0;0;0;;;99;0;0
216;;"Бензиновый генератор Lianlong LL 2,5 GF-3A";12800;0;0;0;0;;;99;0;0
217;;"Бензиновый генератор Lianlong LL 4,0 GF-3A";16200;0;0;0;0;;;99;0;0
227;;"Дополнительный комплект культиваторов МБ";2100;2100;0;0;0;;;99;0;0
228;;"Дополнительный комплект культиваторов для мотоблоков МКМ-3 Lander, Салют";1900;1900;0;0;0;;;98;0;0
229;;"Нож культиватора - 1 шт. (левый;правый) для мотоблоков МКМ-3 Lander, Салют";90;90;0;0;0;;;99;0;0
230;;"Шплинт (стопор) фрезы, колеса для мотоблоков SPLR 1038";100;100;0;0;0;0;0;99;0;-1
231;;"Полольники для мотоблоков МКМ-3 Lander, Салют, Крот";1600;1600;0;0;0;;;98;0;0
232;;"Сцепка СВ-1/1 для мотоблоков типа МБ и МКМ-3 Lander";1100;1100;0;0;0;;;99;0;0
233;;"Сцепка СВ-1/1 для мотоблоков Агрос, МТЗ Беларус";1300;1300;0;0;0;;;99;0;0
234;;"Рама с двумя замками СВ-1/1 для мотоблоков";1100;1100;0;0;0;;;99;0;0
235;;"Рама с двумя замками СУ-4 для адаптера";1100;1100;0;0;0;;;100;0;0
236;;"Сцепка База-2 для мотоблоков типа МБ и МКМ-3 Lander";750;750;0;0;0;;;99;0;0
