Название категории;Название группы;Название подгруппы;Название раздела;Название подраздела;ID товара;Название товара;Цена;Склад;
Лопаты (отвалы);Навесное оборудование;;;; 274;Лопата (отвал) для мотоблоков Агрос, МТЗ Беларус;5600;99;
Лопаты (отвалы);Навесное оборудование;;;; 273;Лопата (отвал) для мотоблоков типа МБ и МКМ-3 Lander;4700;99;
Косилки;Навесное оборудование;;;; 272;Ось ножа (палец) косилки Заря;100;99;
Косилки;Навесное оборудование;;;; 271;Нож косилки Заря;100;99;
Косилки;Навесное оборудование;;;; 270;Косилка Агрос сегментная;16500;99;
Косилки;Навесное оборудование;;;; 269;Редуктор-переходник ПМБ-1 для роторной косилки Заря к мотоблокам;8400;99;
Косилки;Навесное оборудование;;;; 268;Переходник-адаптер для роторной косилки Заря к мотоблоку МКМ-3 Lander;600;99;
Косилки;Навесное оборудование;;;; 267;Косилка роторная Заря-1 для мотоблока НМБ-1 Угра;14990;99;
Косилки;Навесное оборудование;;;; 266;Косилка роторная Заря для мотоблока Салют;14500;99;
Косилки;Навесное оборудование;;;; 265;Косилка роторная Заря для мотоблоков типа МБ и МКМ-3 Lander;13990;99;
Косилки;Навесное оборудование;;;; 264;Косилка КМ-0,5 Терминатор для мотоблоков Агрос, МТЗ Беларус;14990;99;
Косилки;Навесное оборудование;;;; 263;Косилка КМ-0,5 Терминатор для мотоблоков Салют;10700;99;
Снегоуборщики;Навесное оборудование;;;; 262;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблока НМБ-1 Угра;20400;99;
Снегоуборщики;Навесное оборудование;;;; 261;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблоков Агрос (Агро), МТЗ Беларус;20400;99;
Снегоуборщики;Навесное оборудование;;;; 260;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков Салют;14900;99;
Снегоуборщики;Навесное оборудование;;;; 259;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков типа МБ и МКМ-3 Lander;14700;99;
Щетки;Навесное оборудование;;;; 258;Щетка ЩМ-0,9 Торнадо для мотоблоков Агрос, МТЗ Беларус;21400;99;
