Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Генератор бензиновый DAEWOO GDA 3300E;;;;;99;21990;0;0;0;0;0;GDA 3300E;539;#9#538#;Габаритные размеры, мм;611*453*490;Сухая масса, кг;43;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 215;Рабочий объем, куб.см;208;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;15;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);69.3;Макс. мощность, Вт;3000;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;2600;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 6800;;;;;99;36990;0;0;0;0;0;GDA 6800;539;#9#538#;Габаритные размеры, мм;720*544*590;Сухая масса, кг;78;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 415;Рабочий объем, куб.см;389;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;26;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);76.8;Макс. мощность, Вт;5500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 6800E;;;;;99;41990;0;0;0;0;0;GDA 6800E;539;#9#538#;Габаритные размеры, мм;720*544*590;Сухая масса, кг;83;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 415;Рабочий объем, куб.см;389;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;26;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);76.8;Макс. мощность, Вт;5500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 7800E-3;;;;;99;48990;0;0;0;0;0;GDA 7800E-3;539;#9#538#;Габаритные размеры, мм;720*544*591;Сухая масса, кг;86;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 425;Рабочий объем, куб.см;425;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;26;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);76.8;Макс. мощность, Вт;6500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;6000;Частота тока, Гц;50;Напряжение, В;380 /230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 8800E;;;;;99;49990;0;0;0;0;0;GDA 8800E;539;#9#538#;Габаритные размеры, мм;720*544*590;Сухая масса, кг;91;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 445;Рабочий объем, куб.см;445;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);76.8;Макс. мощность, Вт;7500;Время непрерывной работы, ч;14;Номинальная мощность генератора, Вт;7000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Генератор дизельный DAEWOO DDAE6000XE;;;;;99;57990;0;0;0;0;0;DDAE6000XE;540;#9#538#;Габаритные размеры, мм;800*505*630;Сухая масса, кг;82;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;420 diesel;Рабочий объем, куб.см;418;Стартер;ручной+электро ;Тип двигателя;дизельный / 4-х тактный;Тип топлива;дизель ;Емкость топливного бака, л;14;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);77;Макс. мощность, Вт;5500;Время непрерывной работы, ч;13;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор дизельный DAEWOO DDAE6000XE-3;;;;;99;59990;0;0;0;0;0;DDAE6000XE-3;540;#9#538#;Габаритные размеры, мм;800*505*630;Сухая масса, кг;82;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;420 diesel;Рабочий объем, куб.см;418;Стартер;ручной+электро ;Тип двигателя;дизельный / 4-х тактный;Тип топлива;дизель ;Емкость топливного бака, л;14;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);77;Макс. мощность, Вт;5500;Время непрерывной работы, ч;13;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;380 /230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор дизельный DAEWOO DDAE7000SE;;;;;99;85990;0;0;0;0;0;DDAE7000SE;540;#9#538#;Габаритные размеры, мм;680*510*540;Сухая масса, кг;170;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;420 diesel;Рабочий объем, куб.см;418;Стартер;ручной+электро ;Тип двигателя;дизельный / 4-х тактный;Тип топлива;дизель ;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);67;Макс. мощность, Вт;6000;Время непрерывной работы, ч;23;Номинальная мощность генератора, Вт;5500;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор дизельный DAEWOO DDAE7000SE-3;;;;;99;89990;0;0;0;0;0;DDAE7000SE-3;540;#9#538#;Габаритные размеры, мм;680*510*541;Сухая масса, кг;170;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;420 diesel;Рабочий объем, куб.см;418;Стартер;ручной+электро ;Тип двигателя;дизельный / 4-х тактный;Тип топлива;дизель ;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;да;Уровень шума, дБ (А);67;Макс. мощность, Вт;6000;Время непрерывной работы, ч;23;Номинальная мощность генератора, Вт;5500;Частота тока, Гц;50;Напряжение, В;380 /230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Снегоуборщик электрический DAEWOO DAST401E;;;;;99;7990;0;0;0;0;0;DAST401E;541;#60#184#;Количество передач;1 вперед ;Сухая масса, кг;14,9;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Дальность выброса снега, м;0-10;Галогенная фара;нет;Подогрев ручек;нет;Движитель;ручной;Разблокировка колёс;нет;Тип снегоуборщика;?;Диаметр шнека, мм;250;Размерность колес, мм;;Самовывоз в день заказа;;Двигатель;Электрический DAEWOO;Рабочий объем, куб.см;;Макс. мощность, л.с.;2,7 л.с./2000 Вт;Стартер;;Ширина захвата, мм;450;Тип двигателя;электрический ;Тип топлива;;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Снегоуборщик бензиновый DAEWOO DAST551;;;;;99;23990;0;0;0;0;0;DAST551;541;#60#184#332#;Количество передач;6+2;Сухая масса, кг;65.8;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Дальность выброса снега, м;15;Галогенная фара;нет;Подогрев ручек;нет;Движитель;колесный ;Разблокировка колёс;нет;Тип снегоуборщика;?;Диаметр шнека, мм;420;Размерность колес, мм;;Самовывоз в день заказа;;Двигатель;Daewoo 160 Series ;Рабочий объем, куб.см;163;Макс. мощность, л.с.;05.май;Стартер;ручной ;Ширина захвата, мм;550;Тип двигателя;четырехтактный одноцилиндровый;Тип топлива;АИ-92;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор электрический DAEWOO DAT1700E;;;;;99;6990;0;0;0;0;0;DAT1700E;542;#288#44#13#329#328#;Количество передач;1 вперед ;В комплекте;;Масса, кг;13,5;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Червячный;Глубина культивации, мм;200;Количество фрез;;Ширина культивации, мм;300;Самовывоз в день заказа;;Двигатель;Daewoo электрический;Рабочий объем, куб.см;;Макс. мощность, л.с.;1,7 кВт/2,3 л.с.;Тип двигателя;электрический;Тип топлива;;Емкость топливного бака, л;;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор электрический DAEWOO DAT2000E;;;;;99;15990;0;0;0;0;0;DAT2000E;542;#288#44#13#329#328#;Количество передач;1 вперед ;В комплекте;;Масса, кг;29;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;260;Количество фрез;;Ширина культивации, мм;550;Самовывоз в день заказа;;Двигатель;Daewoo электрический;Рабочий объем, куб.см;;Макс. мощность, л.с.;2,0 кВт / 3,5 л.с.;Тип двигателя;электрический;Тип топлива;;Емкость топливного бака, л;;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор бензиновый DAEWOO DAT3555;;;;;99;17990;0;0;0;0;0;DAT3555;542;#288#44#13#329#328#;Количество передач;1 вперед ;В комплекте;;Масса, кг;30;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;280;Количество фрез;16;Ширина культивации, мм;250-550;Самовывоз в день заказа;;Двигатель;90 Series;Рабочий объем, куб.см;89;Макс. мощность, л.с.;03.май;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;01.июн;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор бензиновый DAEWOO DAT3555R;;;;;99;19990;0;0;0;0;0;DAT3555R;542;#288#44#13#329#328#;Количество передач;1 вперед / 1 назад;В комплекте;;Масса, кг;32;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;300;Количество фрез;16;Ширина культивации, мм;300-600;Самовывоз в день заказа;;Двигатель;150 Series;Рабочий объем, куб.см;150;Макс. мощность, л.с.;5;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;03.июн;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор бензиновый DAEWOO DAT5060;;;;;99;20990;0;0;0;0;0;DAT5060;542;#288#44#13#329#328#;Количество передач;1 вперед ;В комплекте;;Масса, кг;32;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;300;Количество фрез;16;Ширина культивации, мм;300-600;Самовывоз в день заказа;;Двигатель;150 Series;Рабочий объем, куб.см;150;Макс. мощность, л.с.;5;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;03.июн;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор бензиновый DAEWOO DAT5560R;;;;;99;22990;0;0;0;0;0;DAT5560R;542;#288#44#13#329#328#;Количество передач;1 вперед / 1 назад;В комплекте;;Масса, кг;44;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;320;Количество фрез;16;Ширина культивации, мм;300-600;Самовывоз в день заказа;;Двигатель;160 Series;Рабочий объем, куб.см;163;Макс. мощность, л.с.;05.май;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;03.июн;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Культиватор бензиновый DAEWOO DAT7090R;;;;;99;24990;0;0;0;0;0;DAT7090R;542;#288#44#13#329#328#;Количество передач;1 вперед / 1 назад;В комплекте;;Масса, кг;56.3;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Редуктор;Цепной ;Глубина культивации, мм;320;Количество фрез;24;Ширина культивации, мм;300-600-900;Самовывоз в день заказа;;Двигатель;210 Series;Рабочий объем, куб.см;208;Макс. мощность, л.с.;7;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;03.июн;Предпродажная подготовка;images/preparation.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
