Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
305;;"Шкив на двигатель для мотоблоков МБ-1 Ока, Каскад, Луч";700;0;0;0;0;0;0;99;0;-1
306;;"Шкив на двигатель для мотоблока Салют";700;0;0;0;0;0;0;99;0;-1
307;;"Шкив на двигатель для мотоблоков МКМ-3 Lander, Hitachi S169";700;0;0;0;0;0;0;99;0;-1
302;;"Шкив Д=20 мм (Салют)";700;0;0;0;0;;;99;0;0
303;;"Шкив Д=19 мм (Салют)";700;0;0;0;0;;;99;0;0
304;;"Шкив на двигатель для мотокультиватора Крот";700;0;0;0;0;0;0;99;0;-1
301;;"Шкив Д=19 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
298;;"Шкив Д=20 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
300;;"Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander";1200;1100;0;0;0;1;;99;0;0
299;;"Сцепка СВ-1/1 для мотоблоков Салют, Фаворит";1100;1100;0;0;0;;;97;0;0
226;;"Комплект культиваторов для мотоблоков типа МБ";2700;2700;0;0;0;;;99;0;0
225;;"Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус";17400;17400;0;0;0;;;99;0;0
145;;"Плуг двухоборотный для мотоблока";4050;4050;0;0;0;0;0;97;15;-1
144;;"Плуг Крот для мотоблока";990;990;0;0;0;1;;96;4;0
143;;"Плуг П1-20/3 для мотоблока";1290;1290;0;0;0;;;100;7;0
141;;"Окучник для мотокультиваторов ОН-2";900;900;0;0;0;;;99;4;0
140;;"Окучник для мотоблоков ОН-2/2";1000;1000;0;0;0;1;;97;5;0
71;;"Плуг П1-20/2 для мотоблока";1200;0;0;0;0;;;98;6;0
139;;"Окучник для мотоблоков двухрядный";3100;3100;0;0;0;;;98;15;0
308;;"Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют";700;700;0;0;0;0;0;92;0;-1
309;;"Полольники для мотокультиватора Нева МК-100";1600;1600;0;0;0;;;99;0;0
155;;"Мотокультиватор МКМ-2-Л4,0 Lander";19990;0;0;0;0;;;99;0;0
156;;"Мотокультиватор МКМ-2-Л5,5 Lander";20500;0;0;0;0;1;0;99;0;0
157;;"Мотокультиватор МКМ-2-Б6,0 Lander";23500;0;0;0;0;;;99;0;0
158;;"Мотокультиватор МКМ-2-С6,0 Lander";24990;0;0;0;0;0;0;99;0;0
159;;"Мотокультиватор Нева МК-100-05";22900;0;0;0;0;;;99;0;0
160;;"Мотокультиватор Нева МК-100-05Р";24500;0;0;0;0;;;99;0;0
161;;"Мотокультиватор Нева МК-100-07";22900;0;0;0;0;;;99;0;0
162;;"Мотокультиватор Нева МК-100-07Р";24500;0;0;0;0;;;99;0;0
163;;"Мотокультиватор Нева МКМ-75-01Р";20900;0;0;0;0;;;99;0;0
164;;"Электрокультиватор Eurosystems La Zappa 1300";11700;0;0;0;0;;;99;0;0
165;;"Электрокультиватор Eurosystems Z-1";8700;0;0;0;0;;;99;0;0
166;;"Электрокультиватор Eurosystems Lucciola";5500;0;0;0;0;;;99;0;0
167;;"Мотоблок МКМ-3-С7 Lander (Пахарь)";34500;0;0;0;0;;;99;0;0
168;;"Мотоблок МКМ-3-С6 Lander (Пахарь)";32500;0;0;0;0;;;99;0;0
169;;"Мотоблок МКМ-3-С6 Премиум Lander (Пахарь)";34000;0;0;0;0;;;99;0;0
170;;"Мотоблок МКМ-3-Л6,5 Lander (Пахарь)";26500;0;0;0;0;;;99;0;0
171;;"Мотоблок МКМ-3-К7 Lander (Пахарь)";32900;0;0;0;0;0;1;99;0;0
172;;"Мотоблок МКМ-3-Б6,5 Lander (Пахарь)";32500;0;0;0;0;;;0;0;0
173;;"Мотоблок МКМ-3-Б6 Lander (Пахарь)";29990;0;0;0;0;;;99;0;0
174;;"Мотоблок МКМ-3-GX200 Lander (Пахарь)";33500;33500;0;0;0;1;0;99;0;0
175;;"Мотоблок Салют 5Л";22990;0;0;0;0;0;0;99;0;0
176;;"Мотоблок Салют 5Х";29990;0;0;0;0;0;0;99;0;0
177;;"Мотоблок Салют 5Р6";32000;0;0;0;0;0;0;99;0;0
178;;"Мотоблок Ока МБ-1Д1М12";25990;0;0;0;0;;;100;0;0
179;;"Мотоблок Ока МБ-1Д1М13";31500;0;0;0;0;;;99;0;0
180;;"Мотоблок НМБ-1Н2 Угра";39000;0;0;0;0;;;99;0;0
181;;"Мотоблок НМБ-1Н9 Угра";38990;0;0;0;0;;;0;0;0
182;;"Мотоблок НМБ-1Н10 Угра";41690;0;0;0;0;;;98;0;0
183;;"Мотоблок НМБ-1Н8 Угра";31500;0;0;0;0;;;99;0;0
184;;"Мотоблок Нева МБ-2Н-5,5";33990;0;0;0;0;0;0;99;0;0
185;;"Мотоблок Нева МБ-2С-6,5 PRO";34890;0;0;0;0;;1;99;0;0
186;;"Мотоблок Нева МБ-2С-7,5 PRO";36690;0;0;0;0;;1;99;0;0
187;;"Мотоблок Нева МБ-2Б-6,0";33000;0;0;0;0;;;99;0;0
188;;"Мотоблок Нева МБ-2Б-6,5 PRO";33900;0;0;0;0;;;99;0;0
189;;"Мотоблок Нева МБ-2Б-7,5 PRO";36590;0;0;0;0;0;0;99;0;-1
191;;"Двигатель Honda GX200";13690;0;0;0;0;0;1;97;0;0
192;;"Двигатель Subaru EX17";13390;0;0;0;0;;;99;0;0
193;;"Двигатель Subaru EX21";16290;0;0;0;0;;;97;0;0
194;;"Двигатель Subaru EX17 Premium";14690;0;0;0;0;;;98;0;0
195;;"Двигатель Subaru EX21 Premium";15500;0;0;0;0;0;0;99;0;0
196;;"Двигатель Kohler Command PRO CH270";14390;0;0;0;0;;1;99;0;0
197;;"Двигатель Kohler Command PRO CH395";20400;0;0;0;0;;;99;0;0
198;;"Двигатель Briggs&amp;Stratton VANGUARD OHV 6,5 13Н3";13690;0;0;0;0;;;99;0;0
199;;"Двигатель Briggs&amp;Stratton 750 Series";11990;0;0;0;0;;;99;0;0
200;;"Двигатель Lianlong LL160F";5100;0;0;0;0;0;0;99;0;0
