Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;;
;Дополнительный комплект культиваторов для мотоблоков;Дополнительный комплект культиваторов для мотоблоков Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/kultivator_salut-mini.png;Дополнительный комплект культиваторов для мотоблоков Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/kultivator_salut.png;99;1900;1900;0;0;0;;;;;2 доп. фрезы (по 4 ножа);;Добавляется к комплекту культиваторов по 1 фрезе слева и справа для увеличения ширины культивации;;Ширина культивации с доп. Фрезами;90 см;Производитель;Мобил К, г. Гагарин;;;;;;;;
;"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков";"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч, НМБ-1 Угра, Крот, Тарпан";/UserFiles/Image/shop/nogi-mini.png;"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч, НМБ-1 Угра, Крот, Тарпан";/UserFiles/Image/shop/nogi.png;99;90;90;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Стопор фрезы, колеса для мотоблоков;Стопор фрезы, колеса для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/stopor-mini.png;Стопор фрезы, колеса для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/stopor.png;99;100;100;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Полольник для мотокультиватора;Полольник для мотокультиватора Тарпан, МК-100, МК-75, Крот;/UserFiles/Image/shop/pololniki_MKM-3-mini.png;Полольник для мотокультиватора Тарпан, МК-100, МК-75, Крот;/UserFiles/Image/shop/pololniki_MKM-3.png;99;1600;1600;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Сцепка СВ-1/1 для мотоблоков;Сцепка СВ-1/1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/CB-1_1_MB-mini.png;Сцепка СВ-1/1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/CB-1_1_MB.png;99;1100;1100;0;0;0;;;;;Отличительная черта, которой обладает сцепка мотоблока СВ-1/1, – это возможность регулирования положения дополнительного навесного оборудования в трех плоскостях.;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Сцепка СВ-1/1 Агрос, Беларус;Сцепка СВ-1/1 (специализированная сцепка для мотоблоков Агрос, МТЗ Беларус);/UserFiles/Image/shop/CB-1_1_MB-mini.png;Сцепка СВ-1/1 (специализированная сцепка для мотоблоков Агрос, МТЗ Беларус);/UserFiles/Image/shop/CB-1_1_MB.png;99;1300;1300;0;0;0;;;;;"Эта сцепка, произведенная нашей компанией ""Мобил К"" (г. Гагарин), создана для работы практически со всем с/х навесным оборудованием. Она так же позволяет регулировать свое положение и угол атаки в 3 плоскостях. ";;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Рама с двумя замками СВ-1/1 СУ-4 для мотоблоков;Рама с двумя замками СВ-1/1 СУ-4 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/rama_CB-1_1-mini.png;Рама с двумя замками СВ-1/1 СУ-4 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/rama_CB-1_1.png;99;1100;1100;0;0;0;;;;;Дополнительная комплектация для серии сцепок СВ-1/1. Это оборудование дает возможность монтировать на мотоблок одновременно два окучника.;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Рама с двумя замками СУ-4 для адаптера;Рама с двумя замками СУ-4 для адаптера АПМ-350;/UserFiles/Image/shop/rama_CB-1_1-mini.png;Рама с двумя замками СУ-4 для адаптера АПМ-350;/UserFiles/Image/shop/rama_CB-1_1.png;99;1100;1100;0;0;0;;;;;Это оборудование дает возможность монтировать на адаптер АПМ-350 одновременно два окучника или плуга.;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Сцепка База-2 для мотоблоков;Сцепка База-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч;/UserFiles/Image/shop/baza_2_MB-mini.png;Сцепка База-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч;/UserFiles/Image/shop/baza_2_MB.png;99;750;750;0;0;0;;;;;"Самый экономный вариант для нерасточительных хозяев. Эта сцепка мотоблока не рассчитана на установку рамы с двумя замками.
Не позволяет устанавливать раму с двумя замками";;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Сцепка База для мотоблоков;Сцепка База для мотоблоков Салют, Фаворит;/UserFiles/Image/shop/sv-2-mini.png;Сцепка База для мотоблоков Салют, Фаворит;/UserFiles/Image/shop/sv-2.png;99;600;600;0;0;0;;;;;Самый экономный вариант для нерасточительных хозяев. Эта сцепка мотоблока не рассчитана на установку рамы с двумя замками. ;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Сцепка МК-100;Сцепка МК-100;;Сцепка МК-100;;99;500;500;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Сцепка МКМ-75;Сцепка МКМ-75;;Сцепка МКМ-75;;99;550;550;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Сцепка Крот;Сцепка Крот;;Сцепка Крот;;99;600;600;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Грунтозацепы ?600 мм для мотоблоков;Грунтозацепы ?600 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/600-mini.png;Грунтозацепы ?600 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/600.png;99;2700;2700;0;0;0;;;;;Диаметр номинальный;600 мм;Ширина;130 мм;Тип обода;цельный;Назначение;нарезание гряд, окучивание;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;30 / 34,3 мм;Устанавливаются на удлинители;;;
;Грунтозацепы ?425x200 мм для мотоблоков;Грунтозацепы ?425x200 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_treh-mini.png;Грунтозацепы ?425x200 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_treh.png;99;2400;2400;0;0;0;;;;;Диаметр номинальный;425 мм;Ширина;200 мм;Тип обода;трехполозный;Назначение;вспашка;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;31 / 34,3 мм;Устанавливаются на удлинители;;;
;Грунтозацепы ?500x200 мм для мотоблоков;Грунтозацепы ?500x200 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_treh-mini.png;Грунтозацепы ?500x200 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_treh.png;99;2700;2700;0;0;0;;;;;Диаметр номинальный;500 мм;Ширина;200 мм;Тип обода;трехполозный;Назначение;вспашка;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;32 / 34,3 мм;Устанавливаются на удлинители;;;
;Грунтозацепы ?460x160 мм для мотоблоков;Грунтозацепы ?460x160 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_dvux-mini.png;Грунтозацепы ?460x160 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;/UserFiles/Image/shop/gr_dvux.png;99;2500;2500;0;0;0;;;;;Диаметр номинальный;460 мм;Ширина;160 мм;Тип обода;двухполозный;Назначение;вспашка, нарезание гряд и раннее окучивание;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;32 / 34,3 мм;Устанавливаются на удлинители;;;
;Грунтозацепы ?425 мм для мотоблоков;Грунтозацепы ?425 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;;Грунтозацепы ?425 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;;99;1850;1850;0;0;0;;;;;Диаметр номинальный;425мм;Ширина;130 мм;Тип обода;цельный;Назначение;нарезание гряд, раннее окучивание;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;32 / 34,3 мм;Устанавливаются на удлинители;;;
;Грунтозацепы ?500 мм для мотоблоков ;Грунтозацепы ?500 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;;Грунтозацепы ?500 мм для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч - комплект;;99;2100;2100;0;0;0;;;;;Диаметр номинальный;500 мм;Ширина;130 мм;Тип обода;цельный;Назначение;нарезание гряд, окучивание;Производитель;Мобил К, г. Гагарин;Посадочный диаметр;32 / 34,3 мм;Устанавливаются на удлинители;;;
