Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;;
;Щетка ЩМ-0,9 Торнадо для мотоблоков;Щетка ЩМ-0,9 Торнадо для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/shetka_MB_mini.png;Щетка ЩМ-0,9 Торнадо для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/shetka_MB.png;99;18490;18490;0;0;0;;;;;Диаметр;350 мм;Ширина захвата;1 м;Угол установки щетки;плюс/минус 20°;Рабочая скорость движения;2,5-5 км/ч;Масса ;45 кг;Производитель;Мобил К, г. Гагарин;;;;
;Щетка ЩМ-0,9 Торнадо для мотоблоков Агрос, МТЗ Беларус;Щетка ЩМ-0,9 Торнадо для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/shetka_Agro_mini.png;Щетка ЩМ-0,9 Торнадо для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/shetka_Agro.png;99;18600;18600;0;0;0;;;;;Диаметр;400-450 мм;Ширина захвата;1 м;Угол установки щетки;плюс/минус 20°;Рабочая скорость движения;2,5-5 км/ч;Масса ;45 кг;Производитель;Мобил К, г. Гагарин;;;;
;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад;/UserFiles/Image/shop/mb,lander_mini.png;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад;/UserFiles/Image/shop/mb,lander.png;99;14700;14700;0;0;0;;;;;Ширина захвата;660 мм;Высота захвата;250 мм;Дальность выброса снега ;до 7 м;Рабочая скорость движения;2-4 км/ч;Масса ;42 кг;Производитель;Мобил К, г. Гагарин;;;;
;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков Салют, Фаворит;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков Салют, Фаворит;/UserFiles/Image/shop/salut_mini.png;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков Салют, Фаворит;/UserFiles/Image/shop/salut.png;99;14900;14900;0;0;0;;;;;Ширина захвата;660 мм;Высота захвата;250 мм;Дальность выброса снега ;до 7 м;Рабочая скорость движения;2-4 км/ч;Масса ;42 кг;Производитель;Мобил К, г. Гагарин;;;;
;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблоков;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/agropered_mini.png;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/agropered.png;99;20400;20400;0;0;0;;;;;Ширина захвата;750 мм;Высота захвата;350 мм;Дальность выброса снега ;до 9 м;Рабочая скорость движения;2-4 км/ч;Масса ;50 кг;Производитель;Мобил К, г. Гагарин;;;;
;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблока НМБ-1 Угра;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблока НМБ-1 Угра;/UserFiles/Image/shop/agropered_mini.png;Снегоуборщик СМ-0,6 Мегалодон двухконтурный для мотоблока НМБ-1 Угра;/UserFiles/Image/shop/agropered.png;99;20400;20400;0;0;0;;;;;Ширина захвата;750 мм;Высота захвата;350 мм;Дальность выброса снега ;до 9 м;Рабочая скорость движения;2-4 км/ч;Масса ;50 кг;Производитель;Мобил К, г. Гагарин;;;;
;Косилка КМ-0,5 Терминатор для мотоблоков;Косилка КМ-0,5 Терминатор для мотоблоков Салют, МКМ-3 Lander;/UserFiles/Image/shop/KM05_salut_sboku_mini_favorit.png;Косилка КМ-0,5 Терминатор для мотоблоков Салют, МКМ-3 Lander;/UserFiles/Image/shop/KM05_salut_sboku.png;99;10700;10700;0;0;0;;;;;Ширина захвата;50 см;Высота скашиваемой травы;до 50 см;Высота среза;от 5 мм;Рабочая скорость движения;0,5-4 км/ч;Масса;35 кг;Производитель;Мобил К, г. Гагарин;;;;
;Косилка КМ-0,5 Терминатор для мотоблоков Агрос, МТЗ Беларус;Косилка КМ-0,5 Терминатор для мотоблоков Агрос, МТЗ Беларус;;Косилка КМ-0,5 Терминатор для мотоблоков Агрос, МТЗ Беларус;;99;14990;14990;0;0;0;;;;;Ширина захвата;50 см;Высота скашиваемой травы;до 50 см;Высота среза;от 5 мм;Рабочая скорость движения;0,5-4 км/ч;Масса;35 кг;Производитель;Мобил К, г. Гагарин;;;;
;Косилка роторная Заря для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад, Луч, Агрос (Агро), МТЗ Беларус;Косилка роторная Заря для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад, Луч, Агрос (Агро), МТЗ Беларус;;Косилка роторная Заря для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад, Луч, Агрос (Агро), МТЗ Беларус;;99;13990;13990;0;0;0;;;;;Ширина захвата;80 см;Высота скашиваемой травы;до 100 см;Высота среза;от 5 мм;Рабочая скорость движения;2-4 км/ч;Масса;33 кг;Габаритные размеры;810 x 930 x 780 мм;Производитель;Кадви, г. Калуга;;
;Косилка роторная Заря для мотоблока Салют;Косилка роторная Заря для мотоблока Салют;;Косилка роторная Заря для мотоблока Салют;;99;14500;14500;0;0;0;;;;;Ширина захвата;80 см;Высота скашиваемой травы;до 100 см;Высота среза;от 5 мм;Рабочая скорость движения;2-4 км/ч;Масса;33 кг;Габаритные размеры;810 x 930 x 780 мм;Производитель;Кадви, г. Калуга;;
;Косилка роторная Заря-1 для мотоблока НМБ-1;Косилка роторная Заря-1 для мотоблока НМБ-1;;Косилка роторная Заря-1 для мотоблока НМБ-1;;99;14990;14990;0;0;0;;;;;Ширина захвата;80 см;Высота скашиваемой травы;до 100 см;Высота среза;от 5 мм;Рабочая скорость движения;2-4 км/ч;Масса;35 кг;Габаритные размеры;492 x 842 x 497 мм;Производительность ;0,2 га/ч;Производитель;Кадви, г. Калуга
;Переходник-адаптер для роторной косилки Заря к мотоблоку МКМ-3 Lander;Переходник-адаптер для роторной косилки Заря к мотоблоку МКМ-3 Lander;/UserFiles/Image/shop/perehodnik_MKM-3_mini.png;Переходник-адаптер для роторной косилки Заря к мотоблоку МКМ-3 Lander;/UserFiles/Image/shop/perehodnik_MKM-3.png;99;600;600;0;0;0;;;;;Необходим для установки роторной косилки Заря ;(модификация для мотоблоков МБ) на мотоблок МКМ-3 Lander (Пахарь);Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Редуктор-переходник ПМБ-1 для роторной косилки Заря к мотоблокам;Редуктор-переходник ПМБ-1 для роторной косилки Заря к мотоблокам Агрос, МТЗ Беларус;;Редуктор-переходник ПМБ-1 для роторной косилки Заря к мотоблокам Агрос, МТЗ Беларус;;99;8400;8400;0;0;0;;;;;Позволяет использовать роторную косилку Заря ;(модификация для мотоблоков МБ) на мотоблоках Агрос (Агро) и МТЗ Беларус;;;;;;;;;;;;;;
;Косилка Агрос сегментная;Косилка Агрос сегментная;;Косилка Агрос сегментная;;99;16500;16500;0;0;0;;;;;;;;;;;;;;;;;;;;
;Нож косилки Заря;Нож косилки Заря - 1 шт.;/UserFiles/Image/shop/noz_mini.png;Нож косилки Заря - 1 шт.;/UserFiles/Image/shop/noz.png;99;100;100;0;0;0;;;;;;;;;;;;;;;;;;;;
;Ось ножа (палец) косилки Заря;Ось ножа (палец) косилки Заря - 1 шт.;/UserFiles/Image/shop/palesmini.png;Ось ножа (палец) косилки Заря - 1 шт.;/UserFiles/Image/shop/pales.png;99;100;100;0;0;0;;;;;;;;;;;;;;;;;;;;
;Лопата мотоблочная (отвал) для мотоблоков;Лопата мотоблочная (отвал) для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/lopata_MB.png;Лопата мотоблочная (отвал) для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/lopata_MB.png;99;4700;4700;0;0;0;;;;;Габаритные размеры;1000х280х370 мм;Ширина захвата;1 м;Угол установки ножа;плюс/минус 30°;Рабочая скорость движения;2-5 км/ч;Масса;13 кг;Производитель;Мобил К, г. Гагарин;;;;
;Лопата мотоблочная (отвал) для мотоблоков Агрос, МТЗ Беларус;Лопата мотоблочная (отвал) для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/lopata_agro-mini.png;Лопата мотоблочная (отвал) для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/lopata_agro.png;99;5600;5600;0;0;0;;;;;Габаритные размеры;1000х280х370 мм;Ширина захвата;1 м;Угол установки ножа;плюс/минус 30°;Рабочая скорость движения;2-5 км/ч;Масса;13 кг;Производитель;Мобил К, г. Гагарин;;;;
;Тележка ТПМ-350-2 для мотоблоков;Тележка ТПМ-350-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 -mini.png;Тележка ТПМ-350-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 .png;99;13300;13300;0;0;0;;;;;Габаритные размеры кузова;100х80 см;Длина;240 см;Ширина ;110 см;Кузов;неоцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин;;
;Тележка ТПМ-350-1 для мотоблоков;Тележка ТПМ-350-1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 -mini.png;Тележка ТПМ-350-1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 .png;99;13500;13500;0;0;0;;;;;Габаритные размеры кузова;120х100 см;Длина;260 см;Ширина ;130 см;Кузов;неоцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин;;
;Тележка ТПМ-350-1 оцинкованная для мотоблоков;Тележка ТПМ-350-1 оцинкованная для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350_osinkovannaya-mini.png;Тележка ТПМ-350-1 оцинкованная для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350_osinkovannaya.png;99;14000;14000;0;0;0;;;;;Габаритные размеры кузова;120х100 см;Длина;260 см;Ширина ;130 см;Кузов;оцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин;;
;Тележка ТПМ-350 для мотоблоков;Тележка ТПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 -mini.png;Тележка ТПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350 .png;99;14000;14000;0;0;0;;;;;Габаритные размеры кузова;150х120 см;Длина;280 см;Ширина ;150 см;Кузов;неоцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин;;
;Тележка ТПМ-350 оцинкованная для мотоблоков;Тележка ТПМ-350 оцинкованная для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350_osinkovannaya-mini.png;Тележка ТПМ-350 оцинкованная для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/telegka_TPM350_osinkovannaya.png;99;14500;14500;0;0;0;;;;;Габаритные размеры кузова;150х120 см;Длина;280 см;Ширина ;150 см;Кузов;оцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин;;
;Адаптер АПМ-350 с кузовом для мотоблоков;Адаптер АПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/adapter-mini.png;Адаптер АПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/adapter.png;99;16500;16500;0;0;0;;;;;В комплекте с неоцинкованным кузовом;;Габаритные размеры кузова;100х80 см;Длина;160 см;Ширина ;70 см;Кузов;неоцинкованный;Рабочая скорость движения;2-5 км/ч;Грузоподъемность ;500 кг;Производитель;Мобил К, г. Гагарин
;Адаптер АПМ-350 без кузова для мотоблоков;Адаптер АПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/adapter-mini.png;Адаптер АПМ-350 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/adapter.png;99;14500;14500;0;0;0;;;;;Без кузова;;Длина;160 см;Ширина ;70 см;Рабочая скорость движения;2-5 км/ч;Производитель;Мобил К, г. Гагарин;;;;;;
;Насос водяной (помпа) НМЦ для мотоблоков;Насос водяной (помпа) НМЦ для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад, Луч - Новинка!;/UserFiles/Image/shop/nasos_mb-mini.png;Насос водяной (помпа) НМЦ для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад, Луч - Новинка!;/UserFiles/Image/shop/nasos_mb.png;99;3800;3800;0;0;0;;;;;Гарантированная всасывающая способность;4 м;Высота подачи воды;24 м;Производительность;12 м3/ч;Количество оборотов рабочего колеса ;3600 об./мин;Наружный диаметр всасывающего/выпускного штуцера;40 мм;Масса;6 кг;Производитель;Мобил К, г. Гагарин;;
;Переключатель скоростей для мотоблока МКМ-3 Lander;Переключатель скоростей для мотоблока МКМ-3 Lander;;Переключатель скоростей для мотоблока МКМ-3 Lander;;99;1300;1300;0;0;0;;;;;;;;;;;;;;;;;;;;
;Колесо резиновое 4,0х8 для мотоблоко;Колесо резиновое 4,0х8 для мотоблоков МКМ-3 Lander, Салют - 1 шт.;/UserFiles/Image/shop/4x8sobstvennoekoleso-mini.png;Колесо резиновое 4,0х8 для мотоблоков МКМ-3 Lander, Салют - 1 шт.;/UserFiles/Image/shop/4x8sobstvennoekoleso.png;99;2000;2000;0;0;0;;;;;;;;;;;;;;;;;;;;
;Мотошина 4,0х8 (елочка) для мотоблоков;Мотошина 4,0х8 (елочка) для мотоблоков МКМ-3 Lander, Салют - 1 шт.;;Мотошина 4,0х8 (елочка) для мотоблоков МКМ-3 Lander, Салют - 1 шт.;;99;850;850;0;0;0;;;;;;;;;;;;;;;;;;;;
;Мотошина 4,0х10 (елочка) для мотоблоков, тележек серии ТПМ-350,адаптера АПМ-350;"Мотошина 4,0х10 (елочка) для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад; тележек серии ТПМ-350, а также адаптера АПМ-350 - 1 шт.";;"Мотошина 4,0х10 (елочка) для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад; тележек серии ТПМ-350, а также адаптера АПМ-350 - 1 шт.";;99;1050;1050;0;0;0;;;;;;;;;;;;;;;;;;;;
;Мотошина 4,5х10 (елочка);Мотошина 4,5х10 (елочка) - 1 шт.;;Мотошина 4,5х10 (елочка) - 1 шт.;;99;1100;1100;0;0;0;;;;;;;;;;;;;;;;;;;;
;Диск колеса 4,0х8 для мотоблоков;Диск колеса 4,0х8 для мотоблоков МКМ-3 Lander, Салют, Крот - комплект на 1 колесо;/UserFiles/Image/shop/disk_kolesa-mini.png;Диск колеса 4,0х8 для мотоблоков МКМ-3 Lander, Салют, Крот - комплект на 1 колесо;/UserFiles/Image/shop/disk_kolesa.png;99;500;500;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Диск колеса 4,0х10 для мотоблоков, тележек серии ТПМ-350, адаптера АПМ-350;"Диск колеса 4,0х10 для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад; тележек серии ТПМ-350, а также адаптера АПМ-350 - комплект на 1 колесо";/UserFiles/Image/shop/disk_kolesa-mini.png;"Диск колеса 4,0х10 для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад; тележек серии ТПМ-350, а также адаптера АПМ-350 - комплект на 1 колесо";/UserFiles/Image/shop/disk_kolesa.png;99;600;600;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Камера колеса 4,0х8;Камера колеса 4,0х8 - 1 шт.;;Камера колеса 4,0х8 - 1 шт.;;99;250;250;0;0;0;;;;;;;;;;;;;;;;;;;;
;Камера колеса 4,0х10, 4,5x10;Камера колеса 4,0х10, 4,5x10 - 1 шт.;;Камера колеса 4,0х10, 4,5x10 - 1 шт.;;99;270;270;0;0;0;;;;;;;;;;;;;;;;;;;;
;Шкворень для мотоблоков;Шкворень для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, НМБ-1 Угра, Фаворит, Каскад;;Шкворень для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, НМБ-1 Угра, Фаворит, Каскад;;99;150;150;0;0;0;;;;;Для присоединения к мотоблоку сцепки, лопаты-отвала, тележек серии ТПМ-350, адаптера АПМ-350;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
;Удлинитель грунтозацепов для мотоблоков ;Удлинитель грунтозацепов для мотоблоков Салют, МКМ-3 Lander, Фаворит - комплект;/UserFiles/Image/shop/udlinit_gr_salut-mini.png;Удлинитель грунтозацепов для мотоблоков Салют, МКМ-3 Lander, Фаворит - комплект;/UserFiles/Image/shop/udlinit_gr_salut.png;99;700;700;0;0;0;;;;;Позволяют расширить колею при установке грунтозацепов;;Колея;60 см (между центрами грунтозацепов);Производитель;Мобил К, г. Гагарин;;;;;;;;;;
;Косилка КМ-0,5 Терминатор для мотоблоков;Косилка КМ-0,5 Терминатор для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад, Луч;/UserFiles/Image/shop/Kosilka_KM05_MB_Lander_mini.png;Косилка КМ-0,5 Терминатор для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, Каскад, Луч;/UserFiles/Image/shop/Kosilka_KM05_MB_Lander.png;99;10700;10700;0;0;0;;;;;Ширина захвата;50 см;Высота скашиваемой травы;до 50 см;Высота среза;от 5 мм;Рабочая скорость движения;0,5-4 км/ч;Масса;35 кг;Производитель;Мобил К, г. Гагарин;;;;
;Насос водяной (помпа) НМЦ для мотоблоков;Насос водяной (помпа) НМЦ для мотоблоков Салют, МКМ-3 Lander, Фаворит - Новинка!;/UserFiles/Image/shop/nasos_salut-mini.png;Насос водяной (помпа) НМЦ для мотоблоков Салют, МКМ-3 Lander, Фаворит - Новинка!;/UserFiles/Image/shop/nasos_salut.png;99;3800;3800;0;0;0;;;;;Гарантированная всасывающая способность;4 м;Высота подачи воды;24 м;Производительность;12 м3/ч;Количество оборотов рабочего колеса ;3600 об./мин;Наружный диаметр всасывающего/выпускного штуцера;40 мм;Масса;6 кг;Производитель;Мобил К, г. Гагарин;;
;Насос водяной (помпа) НМЦ для мотоблоков;Насос водяной (помпа) НМЦ для мотоблоков МКМ-3 Lander - Новинка!;/UserFiles/Image/shop/nasos_MKM-3-mini.png;Насос водяной (помпа) НМЦ для мотоблоков МКМ-3 Lander - Новинка!;/UserFiles/Image/shop/nasos_MKM-3.png;99;3800;3800;0;0;0;;;;;Гарантированная всасывающая способность;4 м;Высота подачи воды;24 м;Производительность;12 м3/ч;Количество оборотов рабочего колеса ;3600 об./мин;Наружный диаметр всасывающего/выпускного штуцера;40 мм;Масса;6 кг;Производитель;Мобил К, г. Гагарин;;
;Окучник двухрядный ОН-2/2 для мотоблока;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;;99;3100;3100;0;0;0;;;;;Рабочая скорость окучивания;2-5 км/ч;Масса;не более 15 кг;Производитель;Мобил К, г. Гагарин;Для установки на мотоблок необходима сцепка;;;;;;;;;
