Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Окучник для мотоблока двухрядный;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UsersFiles/Image/shop/inv1_3.jpg;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UsersFiles/Image/shop/inv1_3.jpg;99;3100;3100;0;0;0;15;;;;;;;;;;;;;;;;;
;Окучник ОН-2/2 для мотоблока;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UsersFiles/Image/shop/inv1_2.gif;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UsersFiles/Image/shop/inv1_2.gif;99;1000;1000;0;0;0;5;;;;;;;;;;;;;;;;;
;Окучник ОН-2/2 для мотоблока;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UsersFiles/Image/shop/inv1_1_2.gif;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UsersFiles/Image/shop/inv1_1_2.gif;99;900;900;0;0;0;4,4;;;;;;;;;;;;;;;;;
;Плуг П1-20/2 для мотоблока;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UsersFiles/Image/shop/inv2_2.gif;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UsersFiles/Image/shop/inv2_2.gif;99;1200;1200;0;0;0;6,9;;;;;;;;;;;;;;;;;
;Плуг П1-20/3 для мотоблока;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус;/UsersFiles/Image/shop/inv2_3.gif;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UsersFiles/Image/shop/inv2_3.gif;99;1290;1290;0;0;0;7,9;;;;Габаритные размеры;535х285х410 мм;Ширина захвата лемеха;190 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;легкая, средняя;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;
;Плуг Крот для мотоблока;Плуг Крот  для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов;/UsersFiles/Image/shop/inv2_1.gif;Плуг Крот для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UsersFiles/Image/shop/inv2_1.gif;99;990;990;0;0;0;4,6;;;;;;;;;;;;;;;;;
;Плуг двухоборотный для мотоблока;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч;/UsersFiles/Image/shop/inv2_4.jpg;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UsersFiles/Image/shop/inv2_4.jpg;99;4050;4050;0;0;0;15;;;;;;;;;;;;;;;;;
