Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
305;;"Шкив на двигатель для мотоблоков МБ-1 Ока, Каскад, Луч";720;0;0;0;0;0;0;99;0.7;-1
306;;"Шкив на двигатель для мотоблока Салют";720;0;0;0;0;0;0;99;0.7;-1
307;;"Шкив на двигатель для мотоблоков МКМ-3 Lander, Hitachi S169";720;0;0;0;0;0;0;99;3;-1
302;;"Шкив Д=20 мм (Салют)";700;0;0;0;0;;;99;0.7;0
303;;"Шкив Д=19 мм (Салют)";700;0;0;0;0;;;99;0.7;0
304;;"Шкив на двигатель для мотокультиватора Крот";720;0;0;0;0;0;0;99;0.7;-1
2170;000000;"Бензиновая газонокосилка Viking МВ 858";97370;0;0;0;0;1;0;99;0;0
301;;"Шкив Д=19 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0.7;0
298;;"Шкив Д=20 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0.7;0
300;;"Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander";1330;0;0;0;0;0;0;95;4.5;0
299;;"Сцепка СВ-1/1 для мотоблоков Салют, Фаворит";1120;0;0;0;0;0;0;94;4;0
226;;"Комплект культиваторов для мотоблоков типа МБ";2720;0;0;0;0;0;0;99;11;0
225;;"Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус ФР-00010";24900;0;0;0;0;0;0;99;0;0
145;;"Плуг двухоборотный для мотоблока";4320;0;0;0;0;0;0;96;15;-1
144;;"Плуг Крот для мотоблока";1100;0;0;0;0;0;0;92;4;0
143;;"Плуг П1-20/3 для мотоблока";1450;0;0;0;0;0;0;99;7;0
141;;"Окучник для мотокультиваторов ОН-2";930;0;0;0;0;0;0;99;4;0
140;;"Окучник для мотоблоков ОН-2/2";1060;0;0;0;0;0;0;88;5;0
71;;"Плуг П1-20/2 для мотоблока";1310;0;0;0;0;0;0;96;6;0
139;;"Окучник для мотоблоков двухрядный";3400;0;0;0;0;0;0;96;15;0
308;;"Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют";720;0;0;0;0;0;0;88;2.5;-1
309;;"Полольники для мотокультиватора Нева МК-100";1680;0;0;0;0;0;0;98;5;0
155;;"Мотокультиватор МКМ-2-Л4,0 Lander";19990;0;0;0;0;0;0;99;65;0
156;;"Мотокультиватор МКМ-2-Л5,5 Lander";20500;0;0;0;0;0;0;99;65;0
157;;"Мотокультиватор МКМ-2-Б6,0 Lander";29990;0;0;0;0;0;0;99;65;0
158;;"Мотокультиватор МКМ-2-С6,0 Lander";34750;0;0;0;0;0;0;99;65;0
159;;"Мотокультиватор Нева МК-100-05";22900;0;0;0;0;0;0;99;0;0
160;;"Мотокультиватор Нева МК-100-05Р";24500;0;0;0;0;0;0;99;0;0
1850;;"Мотокультиватор Нева МК-200-С5.0";23900;0;0;0;0;1;0;99;0;0
161;;"Мотокультиватор Нева МК-100-07";22900;0;0;0;0;0;0;99;0;0
162;;"Мотокультиватор Нева МК-100-07Р";24500;0;0;0;0;0;0;99;0;0
163;;"Мотокультиватор Нева МКМ-75-01Р";20900;0;0;0;0;0;0;99;0;0
164;;"Электрокультиватор Eurosystems La Zappa 1300";11700;0;0;0;0;0;0;99;0;0
165;;"Электрокультиватор Eurosystems Z-1";8700;0;0;0;0;0;0;99;0;0
166;;"Электрокультиватор Eurosystems Lucciola";5500;0;0;0;0;0;0;99;0;0
167;;"Мотоблок МКМ-3-С7 Lander (Пахарь) с двигателем Subaru EX21";45500;0;0;0;0;0;0;98;85;0
1543;;"Мотокультиватор МКМ-2-ДК5,5 Lander (односкоростной)";24650;0;0;0;0;1;0;99;0;0
168;;"Мотоблок МКМ-3-С6 Lander (Пахарь) с двигателем Subaru EX17";41700;0;0;0;0;0;0;99;85;0
169;;"Мотоблок МКМ-3-С6 Премиум Lander (Пахарь) с двигателем Subaru EX17 Premium";34000;0;0;0;0;0;0;99;85;0
170;;"Мотоблок МКМ-3-Л6,5 Lander (Пахарь) с двигателем Lianlong LL168F-1";28490;0;0;0;0;0;0;99;85;0
171;;"Мотоблок МКМ-3-К7 Lander (Пахарь) с двигателем Kohler Command Pro CH270";41100;0;0;0;0;0;1;99;85;0
172;;"Мотоблок МКМ-3-Б6,5 Lander (Пахарь) с двигателем Briggs&Stratton Vanguard";36990;0;0;0;0;0;0;0;85;0
1736;GG7200E;"Генератор бензиновый Champion GG7200E";38100;0;0;0;0;1;0;99;0;0
173;;"Мотоблок МКМ-3-Б6 Lander (Пахарь) с двигателем Briggs&Stratton 750 Series";36900;0;0;0;0;0;0;99;85;0
174;;"Мотоблок МКМ-3-GX200 Lander (Пахарь) с двигателем Honda GX-200";45100;0;0;0;0;1;0;99;85;0
175;;"Мотоблок Салют 5Л";22990;0;0;0;0;0;0;99;0;0
176;;"Мотоблок Салют 5Х";29990;0;0;0;0;0;0;99;0;0
177;;"Мотоблок Салют 5Р6";32000;0;0;0;0;0;0;99;0;0
178;;"Мотоблок Ока МБ-1Д1М12 с двигателем Lianlong LL168F-1";25990;0;0;0;0;0;0;100;0;0
179;;"Мотоблок Ока МБ-1Д1М13  с двигателем Subaru EX17";41500;0;0;0;0;0;0;99;0;0
180;;"Мотоблок НМБ-1Н2 Угра с двигателем Honda GX200";44700;0;0;0;0;0;0;99;0;0
181;;"Мотоблок НМБ-1Н9 Угра  с двигателем Subaru EX17 Premium";42300;0;0;0;0;0;0;0;0;0
182;;"Мотоблок НМБ-1Н10 Угра  с двигателем Subaru EX21 Premium";48700;0;0;0;0;0;0;98;0;0
183;;"Мотоблок НМБ-1Н8 Угра с двигателем Lianlong LL168F-1";33500;0;0;0;0;0;0;99;0;0
184;;"Мотоблок Нева МБ-2Н-5,5 с двигателем Honda GX200";41990;0;42770;0;0;0;0;98;110;0
185;;"Мотоблок Нева МБ-2С-6,5 PRO с двигателем Subaru EX17 Premium";43500;0;41500;0;0;0;1;99;110;0
186;;"Мотоблок Нева МБ-2С-7,5 PRO с двигателем Subaru EX21 Premium";46450;0;44500;0;0;0;1;99;110;0
187;;"Мотоблок Нева МБ-2Б-6,5 с двигателем Briggs&Stratton Intek I/C";39990;0;37200;0;0;0;0;99;110;0
188;;"Мотоблок Нева МБ-2Б-6,5 PRO с двигателем Briggs&Stratton Vanguard";33900;0;33200;0;0;0;0;99;110;0
1602;112928;"Триммер электрический AL-KO GTE 350 Classic";3190;0;0;0;0;1;0;0;0;0
189;;"Мотоблок Нева МБ-2Б-7,5 PRO с двигателем Briggs&Stratton Vanguard";36590;0;35890;0;0;0;0;99;110;-1
191;;"Двигатель Honda GX200";21400;0;0;0;0;0;0;97;16;0
192;;"Двигатель Subaru EX17";17900;0;0;0;0;0;0;99;15;0
193;;"Двигатель Subaru EX21";21800;0;0;0;0;0;0;97;16;0
194;;"Двигатель Subaru EX17 Premium";14690;0;0;0;0;0;0;98;0;0
195;;"Двигатель Subaru EX21 Premium";15500;0;0;0;0;0;0;99;0;0
196;;"Двигатель Kohler Command PRO CH270";16700;0;0;0;0;0;1;99;20;0
197;;"Двигатель Kohler Command PRO CH395";29990;0;0;0;0;0;0;101;0;0
198;;"Двигатель Briggs&amp;Stratton VANGUARD OHV 6,5 13Н3";14990;0;0;0;0;0;0;99;16;0
1619;;"Мотокультиватор MasterYard MB 40R";26990;0;0;0;0;1;0;99;0;0
199;;"Двигатель Briggs&amp;Stratton 750 Series";11990;0;0;0;0;0;0;99;16;0
1775;;"Мотоблок Ока МБ-1Д1М17 с двигателем Dinking DK168F-1";32400;0;0;0;0;0;0;100;0;0
200;;"Двигатель Lianlong LL160F";5100;0;0;0;0;0;0;99;15;0
201;;"Двигатель Lianlong LL168F";5600;0;0;0;0;0;0;99;16;-2
202;;"Двигатель Lianlong LL168F-1";6490;0;0;0;0;0;0;99;16;0
203;;"Двигатель Lianlong LL173F";10300;0;0;0;0;0;0;99;25;0
204;;"Двигатель Dinking DK168F";9200;0;0;0;0;0;0;99;16;-2
205;;"Двигатель Dinking DK168F-1";9500;0;0;0;0;0;1;98;16;0
206;;"Двигатель Dinking DK170F";10150;0;0;0;0;0;1;96;16;0
207;;"Двигатель Dinking DK182F";17600;0;0;0;0;0;0;99;25;0
208;;"Шкив на двигатель для мотоблока Нева МБ-2";720;0;0;0;0;0;0;91;0.6;-1
209;;"Опора сварная для двигателя";720;0;0;0;0;0;0;93;0.8;-1
210;;"Мотопомпа Lianlong LL QDZ 40-25";8000;0;0;0;0;0;0;99;0;0
211;;"Мотопомпа Lianlong LL QD 50-30А";10600;0;0;0;0;0;0;99;0;0
