Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
305;;"Шкив на двигатель для мотоблоков МБ-1 Ока, Каскад, Луч";700;0;0;0;0;0;0;99;0;-1
306;;"Шкив на двигатель для мотоблока Салют";700;0;0;0;0;0;0;99;0;-1
307;;"Шкив на двигатель для мотоблоков МКМ-3 Lander, Hitachi S169";700;0;0;0;0;0;0;99;0;-1
302;;"Шкив Д=20 мм (Салют)";700;0;0;0;0;;;99;0;0
303;;"Шкив Д=19 мм (Салют)";700;0;0;0;0;;;99;0;0
304;;"Шкив на двигатель для мотокультиватора Крот";700;0;0;0;0;0;0;99;0;-1
2170;;"Бензиновая газонокосилка Viking МВ 858";97370;0;0;0;0;1;0;99;0;0
301;;"Шкив Д=19 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
298;;"Шкив Д=20 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
300;;"Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander";1200;0;0;0;0;0;0;97;0;0
299;;"Сцепка СВ-1/1 для мотоблоков Салют, Фаворит";1100;0;0;0;0;0;0;95;0;0
226;;"Комплект культиваторов для мотоблоков типа МБ";2700;0;0;0;0;0;0;99;0;0
225;;"Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус ФР-00010";24900;0;0;0;0;1;0;99;0;0
145;;"Плуг двухоборотный для мотоблока";4300;0;0;0;0;0;0;96;15;-1
144;;"Плуг Крот для мотоблока";1100;0;0;0;0;0;0;94;4;0
143;;"Плуг П1-20/3 для мотоблока";1450;0;0;0;0;0;0;99;7;0
141;;"Окучник для мотокультиваторов ОН-2";900;0;0;0;0;0;0;99;4;0
140;;"Окучник для мотоблоков ОН-2/2";1000;0;0;0;0;0;0;91;5;0
71;;"Плуг П1-20/2 для мотоблока";1300;0;0;0;0;0;0;97;6;0
139;;"Окучник для мотоблоков двухрядный";3100;0;0;0;0;0;0;96;15;0
308;;"Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют";700;0;0;0;0;0;0;89;0;-1
309;;"Полольники для мотокультиватора Нева МК-100";1700;1600;0;0;0;0;0;98;0;0
155;;"Мотокультиватор МКМ-2-Л4,0 Lander";19990;0;0;0;0;;;99;0;0
156;;"Мотокультиватор МКМ-2-Л5,5 Lander";20500;0;0;0;0;0;0;99;0;0
157;;"Мотокультиватор МКМ-2-Б6,0 Lander";25250;0;0;0;0;0;0;99;0;0
158;;"Мотокультиватор МКМ-2-С6,0 Lander";27500;0;0;0;0;0;0;99;0;0
159;;"Мотокультиватор Нева МК-100-05";22900;0;0;0;0;0;0;99;0;0
160;;"Мотокультиватор Нева МК-100-05Р";24500;0;0;0;0;0;0;99;0;0
1850;;"Мотокультиватор Нева МК-200-С5.0";23900;0;0;0;0;1;0;99;0;0
161;;"Мотокультиватор Нева МК-100-07";22900;0;0;0;0;0;0;99;0;0
162;;"Мотокультиватор Нева МК-100-07Р";24500;0;0;0;0;0;0;99;0;0
163;;"Мотокультиватор Нева МКМ-75-01Р";20900;0;0;0;0;0;0;99;0;0
164;;"Электрокультиватор Eurosystems La Zappa 1300";11700;0;0;0;0;0;0;99;0;0
165;;"Электрокультиватор Eurosystems Z-1";8700;0;0;0;0;0;0;99;0;0
166;;"Электрокультиватор Eurosystems Lucciola";5500;0;0;0;0;0;0;99;0;0
167;;"Мотоблок МКМ-3-С7 Lander (Пахарь) с двигателем Subaru EX21";37700;0;0;0;0;0;0;99;0;0
1543;;"Мотокультиватор МКМ-2-ДК5,5 Lander (односкоростной)";20300;0;0;0;0;1;0;99;0;0
168;;"Мотоблок МКМ-3-С6 Lander (Пахарь) с двигателем Subaru EX17";35300;0;0;0;0;0;0;99;0;0
169;;"Мотоблок МКМ-3-С6 Премиум Lander (Пахарь) с двигателем Subaru EX17 Premium";34000;0;0;0;0;0;0;99;0;0
170;;"Мотоблок МКМ-3-Л6,5 Lander (Пахарь) с двигателем Lianlong LL168F-1";28490;0;0;0;0;0;0;99;0;0
171;;"Мотоблок МКМ-3-К7 Lander (Пахарь) с двигателем Kohler Command Pro CH270";36500;0;0;0;0;0;1;99;0;0
172;;"Мотоблок МКМ-3-Б6,5 Lander (Пахарь) с двигателем Briggs&Stratton Vanguard";36590;0;0;0;0;0;0;0;0;0
1736;;"Генератор бензиновый Champion GG7200E";30150;0;0;0;0;1;0;99;0;0
173;;"Мотоблок МКМ-3-Б6 Lander (Пахарь) с двигателем Briggs&Stratton 750 Series";33190;0;0;0;0;0;0;99;0;0
174;;"Мотоблок МКМ-3-GX200 Lander (Пахарь) с двигателем Honda GX-200";36990;0;0;0;0;1;0;99;0;0
175;;"Мотоблок Салют 5Л";22990;0;0;0;0;0;0;99;0;0
176;;"Мотоблок Салют 5Х";29990;0;0;0;0;0;0;99;0;0
177;;"Мотоблок Салют 5Р6";32000;0;0;0;0;0;0;99;0;0
178;;"Мотоблок Ока МБ-1Д1М12 с двигателем Lianlong LL168F-1";25990;0;0;0;0;0;0;100;0;0
179;;"Мотоблок Ока МБ-1Д1М13  с двигателем Subaru EX17";32990;0;0;0;0;0;0;99;0;0
180;;"Мотоблок НМБ-1Н2 Угра с двигателем Honda GX200";44700;0;0;0;0;0;0;99;0;0
181;;"Мотоблок НМБ-1Н9 Угра  с двигателем Subaru EX17 Premium";42300;0;0;0;0;0;0;0;0;0
182;;"Мотоблок НМБ-1Н10 Угра  с двигателем Subaru EX21 Premium";48700;0;0;0;0;0;0;98;0;0
183;;"Мотоблок НМБ-1Н8 Угра с двигателем Lianlong LL168F-1";33500;0;0;0;0;0;0;99;0;0
184;;"Мотоблок Нева МБ-2Н-5,5 с двигателем Honda GX200";35600;0;35400;0;0;0;0;98;0;0
185;;"Мотоблок Нева МБ-2С-6,5 PRO с двигателем Subaru EX17 Premium";37700;0;35900;0;0;0;1;99;0;0
186;;"Мотоблок Нева МБ-2С-7,5 PRO с двигателем Subaru EX21 Premium";39900;0;37900;0;0;0;1;99;0;0
