Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
179;ps_179;"Мотоблок Ока МБ-1Д1М13  с двигателем Subaru EX17";41500;0;0;0;0;0;0;99;0;0
180;ps_180;"Мотоблок НМБ-1Н2 Угра с двигателем Honda GX200";44700;0;0;0;0;0;0;99;0;0
181;ps_181;"Мотоблок НМБ-1Н9 Угра  с двигателем Subaru EX17 Premium";42300;0;0;0;0;0;0;0;0;0
182;ps_182;"Мотоблок НМБ-1Н10 Угра  с двигателем Subaru EX21 Premium";52020;0;0;0;0;0;0;98;0;0
183;out183;"Мотоблок НМБ-1Н8 Угра с двигателем Lianlong LL168F-1";33500;0;0;0;0;0;0;99;0;0
184;ps_184;"Мотоблок Нева МБ-2Н-5,5 с двигателем Honda GX200";47500;0;40500;0;0;0;1;98;110;0
185;ps_185;"Мотоблок Нева МБ-2С-6,5 PRO с двигателем Subaru EX17 Premium";43990;0;40500;0;0;0;1;99;110;0
186;ps_186;"Мотоблок Нева МБ-2С-7,5 PRO с двигателем Subaru EX21 Premium";47530;0;43900;0;0;0;1;99;110;0
187;ps_187;"Мотоблок Нева МБ-2Б-6,5 с двигателем Briggs&Stratton Intek I/C";41250;0;37890;0;0;0;0;99;110;0
188;out188;"Мотоблок Нева МБ-2Б-6,5 PRO с двигателем Briggs&Stratton Vanguard";33900;0;33200;0;0;0;0;99;110;0
1602;112928;"Триммер электрический AL-KO GTE 350 Classic";3370;0;0;0;0;1;0;0;2;0
189;out189;"Мотоблок Нева МБ-2Б-7,5 PRO с двигателем Briggs&Stratton Vanguard";36590;0;35890;0;0;0;0;99;110;-1
191;ps_191;"Двигатель Honda GX200";21880;0;0;0;0;0;0;97;16;0
192;ps_192;"Двигатель Subaru EX17";21250;0;0;0;0;0;0;99;15;0
193;ps_193;"Двигатель Subaru EX21";26000;0;0;0;0;0;0;97;16;0
194;ps_194;"Двигатель Subaru EX17 Premium";14690;0;0;0;0;0;1;98;15;0
195;ps_195;"Двигатель Subaru EX21 Premium";15500;0;0;0;0;0;0;99;16;0
196;ps_196;"Двигатель Kohler Command PRO CH270";19060;0;0;0;0;0;0;99;20;0
197;ps_197;"Двигатель Kohler Command PRO CH395";35060;0;0;0;0;0;0;101;0;0
198;out198;"Двигатель Briggs&amp;Stratton VANGUARD OHV 6,5 13Н3";14990;0;0;0;0;0;0;99;16;0
8802;20077;"Цепная пила GreenWorks GD40CS40 (без АКБ и зарядного устройства)";15500;0;0;0;0;1;0;99;0;0
1619;6000360401;"Мотокультиватор MasterYard MB 40R";24990;0;0;0;0;1;1;99;0;0
199;ps_199;"Двигатель Briggs&amp;Stratton 750 Series";11680;0;0;0;0;0;0;99;16;0
1775;ps_1775;"Мотоблок Ока МБ-1Д1М17 с двигателем Dinking DK168F-1";32400;0;0;0;0;0;0;100;0;0
200;out200;"Двигатель Lianlong LL160F";5100;0;0;0;0;0;0;99;15;0
201;out201;"Двигатель Lianlong LL168F";5600;0;0;0;0;0;0;99;16;-2
202;out202;"Двигатель Lianlong LL168F-1";6490;0;0;0;0;0;0;99;16;0
203;ps_203;"Двигатель Lianlong LL173F";10300;0;0;0;0;0;0;99;25;0
204;ps_204;"Двигатель Dinking DK168F";8530;0;0;0;0;0;0;99;16;-2
205;ps_205;"Двигатель Dinking DK168F-1";8710;0;0;0;0;0;0;98;16;0
206;ps_206;"Двигатель Dinking DK170F";8870;0;0;0;0;0;0;96;16;0
207;ps_207;"Двигатель Dinking DK182F";18400;0;0;0;0;0;0;99;25;0
